,company,net_output
0,RELIANCE,1497.318655014038
1,TCS,1997.8500061035156
2,HDFCBANK,1025.5600819587708
3,INFY,860.4819000959396
4,ICICIBANK,482.4727592468262
5,HINDUNILVR,1488.7200622558594
6,SBIN,152.8151149749756
7,BAJFINANCE,527.1715741157532
8,HDFC,1319.220115661621
9,BHARTIARTL,380.33370304107666
10,KOTAKBANK,594.8250274658203
11,WIPRO,457.1654403209686
12,HCLTECH,821.35618019104
13,ITC,121.12110614776611
14,ADANIGREEN,1810.2999992370605
15,ASIANPAINT,1917.5170097351074
16,BAJAJFINSV,1900.5898170471191
17,ADANITRANS,2.7999839782714844
18,DMART,1626.6497802734375
19,LT,968.0778274536133
20,ATGL,1072.2000274658203
21,AXISBANK,36.26006031036377
22,MARUTI,3345.000274658203
23,TITAN,1232.2394967079163
24,ADANIENT,1647.5977305173874
25,SUNPHARMA,458.27641332149506
26,ONGC,19.62224006652832
27,ULTRACEMCO,1740.2501220703125
28,JSWSTEEL,192.50926780700684
29,ADANIPORTS,192.01002502441406
30,TATASTEEL,-381.25358390808105
31,POWERGRID,14.924980163574219
32,VEDL,517.5187579393387
33,TECHM,742.9499664306641
34,TATAMOTORS,480.0199089050293
35,HINDZINC,172.67500686645508
36,NTPC,-79.39998626708984
37,HINDALCO,-45.20466613769531
38,PIDILITIND,1764.6556270122528
39,DIVISLAB,3715.7751121520996
40,HDFCLIFE,-252.20001220703125
41,COALINDIA,-221.5999298095703
42,SBILIFE,-79.9500732421875
43,IOC,-220.58888721466064
44,GRASIM,-282.20896911621094
45,BAJAJ-AUTO,1042.4627380371094
46,M&M,377.5375442504883
47,DABUR,274.86498069763184
48,DLF,-152.84999084472656
49,SHREECEM,10179.049560546875
50,SIEMENS,966.5701103210449
51,CIPLA,425.74160385131836
52,SBICARD,-148.04998779296875
53,NYKAA,0.0
54,SRF,2083.670120239258
55,BPCL,-92.69170188903809
56,INDIGO,339.14990234375
57,BRITANNIA,1506.2999000549316
58,GODREJCP,367.8165969848633
59,TATAPOWER,202.50499534606934
60,INDUSINDBK,901.6999130249023
61,HAVELLS,650.2530845403671
62,ICICIPRULI,-262.9000549316406
63,TATACONSUM,478.3650131225586
64,DRREDDY,3615.1002502441406
65,ADANIPOWER,116.8499984741211
66,GAIL,45.37500286102295
67,BERGEPAINT,613.6161141395569
68,EICHERMOT,1835.3350303173065
69,AWL,-123.10000610351562
70,ICICIGI,236.54998779296875
71,MARICO,239.52444446086884
72,APOLLOHOSP,2504.8249015808105
73,ZOMATO,0.0
74,MCDOWELL-N,411.3200330734253
75,MPHASIS,1931.1000366210938
76,IRCTC,332.0599365234375
77,INDUSTOWER,42.700042724609375
78,AMBUJACEM,-46.74467086791992
79,CHOLAFIN,103.96800899505615
80,UPL,139.46009826660156
81,NAUKRI,4316.949890136719
82,BANKBARODA,-76.06998825073242
83,BAJAJHLDNG,2856.9497680664062
84,TATAELXSI,6533.849952697754
85,JINDALSTEL,630.0008347034454
86,LODHA,-484.949951171875
87,LTTS,1949.550048828125
88,GLAND,-553.75
89,MUTHOOTFIN,886.8500518798828
90,PEL,1723.1893196105957
91,BEL,33.29595613479614
92,JSWENERGY,18.949989318847656
93,HAL,-320.0
94,BANDHANBNK,-364.8000183105469
95,PAGEIND,36392.24920654297
96,NMDC,-133.20000457763672
97,TORNTPHARM,674.792308807373
98,PGHH,9719.19970703125
99,GODREJPROP,686.8116149902344
100,IDBI,-104.47501182556152
101,HEROMOTOCO,1113.650146484375
102,HDFCAMC,120.5499267578125
103,ABB,-311.199951171875
104,TRENT,1004.1317882537842
105,ALKEM,792.35009765625
106,PIIND,1712.3000106811523
107,BOSCHLTD,8505.75048828125
108,COLPAL,343.12476348876953
109,CANBK,96.09402465820312
110,BALKRISIND,1115.7859687805176
111,VOLTAS,453.4851160645485
112,CONCOR,203.28011322021484
113,STARHEALTH,-81.8499755859375
114,VBL,0.0
115,SAIL,146.49999141693115
116,ASTRAL,731.690197467804
117,ACC,514.3496551513672
118,BIOCON,35.45833778381348
119,SONACOMS,-81.25
120,UBL,353.04993438720703
121,AUBANK,47.849884033203125
122,AUROPHARMA,624.977452993393
123,PNB,-13.490005493164062
124,HINDPETRO,-59.49630546569824
125,PERSISTENT,2509.800018310547
126,ZYDUSLIFE,460.3738498687744
127,POLYCAB,1304.9500732421875
128,HONAUT,27214.447143554688
129,TATACOMM,862.5999908447266
130,JUBLFOOD,344.5649528503418
131,AARTIIND,774.76069688797
132,GUJGASLTD,382.5600051879883
133,ASHOKLEY,76.02501773834229
134,IOB,30.449993133544922
135,PAYTM,0.0
