,company,net_output
0,RELIANCE,5502.143812179565
1,TCS,4831.794734954834
2,HDFCBANK,2705.980112552643
3,INFY,1979.9654701948166
4,ICICIBANK,2185.9273166656494
5,HINDUNILVR,6112.884857177734
6,SBIN,1066.1738138198853
7,BAJFINANCE,9086.467559814453
8,HDFC,4733.11997127533
9,BHARTIARTL,1346.531834602356
10,KOTAKBANK,3279.6959121227264
11,WIPRO,1313.1143013834953
12,HCLTECH,2701.313695907593
13,ITC,728.6188669204712
14,ADANIGREEN,1803.8997344970703
15,ASIANPAINT,5024.055557250977
16,BAJAJFINSV,1044.7482500076294
17,ADANITRANS,1165.4501132965088
18,DMART,2793.5504150390625
19,LT,6013.315765380859
20,ATGL,-427.2002716064453
21,AXISBANK,1670.349993944168
22,MARUTI,18854.249893188477
23,TITAN,2869.5999389886856
24,ADANIENT,5061.217926084995
25,SUNPHARMA,1043.2242594957352
26,ONGC,327.8415861129761
27,ULTRACEMCO,10101.999160766602
28,JSWSTEEL,599.3456592559814
29,ADANIPORTS,717.5200538635254
30,TATASTEEL,-55.75737476348877
31,POWERGRID,251.59993743896484
32,VEDL,15.23063337802887
33,TECHM,954.9748992919922
34,TATAMOTORS,153.51785564422607
35,HINDZINC,865.4800542593002
36,NTPC,143.44166564941406
37,HINDALCO,-10.700855255126953
38,PIDILITIND,4810.830642342567
39,DIVISLAB,843.0147085189819
40,HDFCLIFE,-329.49993896484375
41,COALINDIA,-737.200065612793
42,SBILIFE,1443.7999267578125
43,IOC,181.00970363616943
44,GRASIM,3908.4387550354004
45,BAJAJ-AUTO,10036.562240600586
46,M&M,1737.0563564300537
47,DABUR,1394.0201363563538
48,DLF,114.90013885498047
49,SHREECEM,32404.603149414062
50,SIEMENS,8591.01494026184
51,CIPLA,1464.9844517707825
52,SBICARD,-867.8998413085938
53,NYKAA,-284.03330993652344
54,SRF,5947.629638671875
55,BPCL,711.2999658584595
56,INDIGO,1711.900390625
57,BRITANNIA,9629.422275543213
58,GODREJCP,2349.426703453064
59,TATAPOWER,27.292787551879883
60,INDUSINDBK,517.8996028900146
61,HAVELLS,1257.9707094430923
62,ICICIPRULI,21.30029296875
63,TATACONSUM,863.0199060440063
64,DRREDDY,9082.526058197021
65,ADANIPOWER,222.7500114440918
66,GAIL,191.13849401474
67,BERGEPAINT,633.4147393703461
68,EICHERMOT,4478.720089793205
69,AWL,-698.6502075195312
70,ICICIGI,759.3998413085938
71,MARICO,1242.8457943201065
72,APOLLOHOSP,6844.501029968262
73,ZOMATO,-197.1000099182129
74,MCDOWELL-N,469.9899649620056
75,MPHASIS,-365.1503448486328
76,IRCTC,879.8599853515625
77,INDUSTOWER,-681.5000457763672
78,AMBUJACEM,740.255449295044
79,CHOLAFIN,1766.153980731964
80,UPL,336.7031898498535
81,NAUKRI,2564.8255310058594
82,BANKBARODA,-17.3300142288208
83,BAJAJHLDNG,10424.199279785156
84,TATAELXSI,14503.925342559814
85,JINDALSTEL,1129.4198460578918
86,LODHA,267.949951171875
87,LTTS,-476.6005859375
88,GLAND,-3338.050048828125
89,MUTHOOTFIN,859.8000640869141
90,PEL,-1266.8573780059814
91,BEL,355.68027210235596
92,JSWENERGY,-7.800006866455078
93,HAL,4183.199920654297
94,BANDHANBNK,112.15003967285156
95,PAGEIND,81630.43923950195
96,NMDC,-320.4666061401367
97,TORNTPHARM,2791.409704208374
98,PGHH,30613.451171875
99,GODREJPROP,3340.9451751708984
100,IDBI,-42.912516593933105
101,HEROMOTOCO,3951.0004119873047
102,HDFCAMC,-542.7989501953125
103,ABB,1195.6995677947998
104,TRENT,4659.163724899292
105,ALKEM,3694.44970703125
106,PIIND,7851.495101928711
107,BOSCHLTD,16694.546661376953
108,COLPAL,4220.974842071533
109,CANBK,541.3057250976562
110,BALKRISIND,1574.638105392456
111,VOLTAS,2027.5510147809982
112,CONCOR,1834.0759143829346
113,STARHEALTH,-821.14990234375
114,VBL,3352.7684631347656
115,SAIL,-167.0499496459961
116,ASTRAL,2039.4196093082428
117,ACC,3999.39990234375
118,BIOCON,-223.71244430541992
119,SONACOMS,-425.4000549316406
120,UBL,2092.0497665405273
121,AUBANK,953.0499725341797
122,AUROPHARMA,-636.5534827709198
123,PNB,-11.160038948059082
124,HINDPETRO,366.7463073730469
125,PERSISTENT,8854.274307250977
126,ZYDUSLIFE,1166.1540241241455
127,POLYCAB,5168.449401855469
128,HONAUT,80978.95231628418
129,TATACOMM,2457.799980163574
130,JUBLFOOD,806.5951271057129
131,AARTIIND,1088.4114615917206
132,GUJGASLTD,98.02999114990234
133,ASHOKLEY,264.06496715545654
134,IOB,93.34997701644897
135,PAYTM,-310.7497863769531
136,OBEROIRLTY,205.5998992919922
137,LUPIN,-541.0048942565918
138,MAXHEALTH,839.0999755859375
139,BHARATFORG,1292.0698108673096
140,TTML,-6.160036325454712
141,LINDEINDIA,8130.59934425354
142,LAURUSLABS,19.580032348632812
143,INDHOTEL,473.7113494873047
144,TIINDIA,2698.350067138672
145,POLICYBZR,-370.0500793457031
146,CUMMINSIND,4094.757266998291
147,OFSS,9212.59994506836
148,YESBANK,329.3000078201294
149,DEEPAKNTR,2290.795262336731
150,ATUL,14086.148988723755
151,SCHAEFFLER,4846.990447998047
152,FLUOROCHEM,4347.3995361328125
153,PFC,42.899967193603516
154,TVSMOTOR,1543.0873458385468
