,company,net_output
0,RELIANCE,2314.5813670158386
1,TCS,2857.334424972534
2,HDFCBANK,1216.6136767864227
3,INFY,128.24820125102997
4,ICICIBANK,683.6572666168213
5,HINDUNILVR,4929.15461730957
6,SBIN,1033.8788375854492
7,BAJFINANCE,190.31521081924438
8,HDFC,2609.144094467163
9,BHARTIARTL,1158.5492696762085
10,KOTAKBANK,3397.626636147499
11,WIPRO,-114.00536477565765
12,HCLTECH,573.1497049331665
13,ITC,214.9044578075409
14,ADANIGREEN,-1998.7500247955322
15,ASIANPAINT,4175.319227218628
16,BAJAJFINSV,-3208.553997039795
17,ADANITRANS,-2706.399917602539
18,DMART,3282.0498046875
19,LT,2384.239568710327
20,ATGL,-2486.989044189453
21,AXISBANK,663.8942836523056
22,MARUTI,15324.142456054688
23,TITAN,769.8286724090576
24,ADANIENT,-2824.896811082959
25,SUNPHARMA,-261.92261123657227
26,ONGC,130.01555180549622
27,ULTRACEMCO,10336.194351196289
28,JSWSTEEL,382.8054494857788
29,ADANIPORTS,592.601936340332
30,TATASTEEL,45.832767605781555
31,POWERGRID,273.1614875793457
32,VEDL,-280.88584250211716
33,TECHM,-1600.9293899536133
34,TATAMOTORS,298.358247756958
35,HINDZINC,287.5370631814003
36,NTPC,88.35334396362305
37,HINDALCO,-161.69931983947754
38,PIDILITIND,3600.955878853798
39,DIVISLAB,-2056.8214378356934
40,HDFCLIFE,-275.2422180175781
41,COALINDIA,-30.30157470703125
42,SBILIFE,-117.20718383789062
43,IOC,350.90677523612976
44,GRASIM,2012.4826469421387
45,BAJAJ-AUTO,7874.244834899902
46,M&M,1370.155945301056
47,DABUR,1350.296190738678
48,DLF,167.07135009765625
49,SHREECEM,64551.33048057556
50,SIEMENS,2578.250087738037
51,CIPLA,1170.7797665596008
52,SBICARD,152.608642578125
53,NYKAA,-203.9250030517578
54,SRF,1764.4941203594208
55,BPCL,353.0531167984009
56,INDIGO,2904.1031494140625
57,BRITANNIA,5151.5457100868225
58,GODREJCP,1012.6622533798218
59,TATAPOWER,138.37482976913452
60,INDUSINDBK,-179.45980072021484
61,HAVELLS,217.13701915740967
62,ICICIPRULI,-313.7511444091797
63,TATACONSUM,254.3006944656372
64,DRREDDY,7453.96635055542
65,ADANIPOWER,-137.9000120162964
66,GAIL,223.89038681983948
67,BERGEPAINT,321.3517454266548
68,EICHERMOT,6817.314057022333
69,AWL,-257.6499328613281
70,ICICIGI,-542.950927734375
71,MARICO,746.844282746315
72,APOLLOHOSP,3018.3910217285156
73,ZOMATO,14.60000228881836
74,MCDOWELL-N,1358.975929737091
75,MPHASIS,-1509.281337738037
76,IRCTC,156.80404663085938
77,INDUSTOWER,-289.33606719970703
78,AMBUJACEM,56.43963050842285
79,CHOLAFIN,743.8592262268066
80,UPL,-346.85015773773193
81,NAUKRI,-1494.1685180664062
82,BANKBARODA,244.51925134658813
83,BAJAJHLDNG,8322.602096557617
84,TATAELXSI,-2253.290252685547
85,JINDALSTEL,-272.6248232126236
86,LODHA,966.7998657226562
87,LTTS,-3095.06396484375
88,GLAND,-5478.449645996094
89,MUTHOOTFIN,375.3239631652832
90,PEL,-1000.0164489746094
91,BEL,147.25146174430847
92,JSWENERGY,-202.35257530212402
93,HAL,26.02703857421875
94,BANDHANBNK,475.5169982910156
95,PAGEIND,22778.194610595703
96,NMDC,41.89759063720703
97,TORNTPHARM,2595.2530121803284
98,PGHH,14050.399047851562
99,GODREJPROP,-11.954940795898438
100,IDBI,186.36766004562378
101,HEROMOTOCO,-65.77635192871094
