,company,net_output
0,RELIANCE,673.4768867492676
1,TCS,1707.85009765625
2,HDFCBANK,904.1250519752502
3,INFY,-475.56765127182007
4,ICICIBANK,787.0136451721191
5,HINDUNILVR,1709.4198608398438
6,SBIN,69.74156188964844
7,BAJFINANCE,-1972.2508029937744
8,HDFC,2295.309844970703
9,BHARTIARTL,537.8421430587769
10,KOTAKBANK,1567.0875396728516
11,WIPRO,97.52573901414871
12,HCLTECH,290.8312168121338
13,ITC,54.143333435058594
14,ADANIGREEN,14.950000762939453
15,ASIANPAINT,874.0719585418701
16,BAJAJFINSV,-100.85657501220703
17,ADANITRANS,-19.750011444091797
18,DMART,-731.7501220703125
19,LT,501.7553176879883
20,ATGL,85.25
21,AXISBANK,886.4201154708862
22,MARUTI,6248.200103759766
23,TITAN,702.0875203609467
24,ADANIENT,146.18336188793182
25,SUNPHARMA,-504.03642666339874
26,ONGC,306.06115531921387
27,ULTRACEMCO,1584.7501220703125
28,JSWSTEEL,-186.0099925994873
29,ADANIPORTS,161.2099838256836
30,TATASTEEL,-332.931471824646
31,POWERGRID,56.77501678466797
32,VEDL,152.72875320911407
33,TECHM,-108.26252746582031
34,TATAMOTORS,231.48460578918457
35,HINDZINC,123.17000198364258
36,NTPC,-179.59999084472656
37,HINDALCO,-129.14202880859375
38,PIDILITIND,612.6550092697144
39,DIVISLAB,181.58001708984375
40,HDFCLIFE,56.85003662109375
41,COALINDIA,-344.7499542236328
42,SBILIFE,701.7000122070312
43,IOC,-185.98193740844727
44,GRASIM,209.6717071533203
45,BAJAJ-AUTO,3518.487579345703
46,M&M,1314.1749801635742
47,DABUR,552.0050010681152
48,DLF,-147.90003967285156
49,SHREECEM,9094.298950195312
50,SIEMENS,13.470056533813477
51,CIPLA,442.0705633163452
52,SBICARD,68.70001220703125
53,NYKAA,0.0
54,SRF,110.79000997543335
55,BPCL,-463.96668434143066
56,INDIGO,1021.5499267578125
57,BRITANNIA,4153.629486083984
58,GODREJCP,185.56663131713867
59,TATAPOWER,50.4873948097229
60,INDUSINDBK,591.6500396728516
61,HAVELLS,229.24401676654816
62,ICICIPRULI,-6.00006103515625
63,TATACONSUM,132.61498832702637
64,DRREDDY,1966.7748336791992
65,ADANIPOWER,2.650003433227539
66,GAIL,-8.11662483215332
67,BERGEPAINT,80.160715341568
68,EICHERMOT,321.6999360322952
69,AWL,-123.10000610351562
70,ICICIGI,526.5499877929688
71,MARICO,193.84521198272705
72,APOLLOHOSP,179.24995803833008
73,ZOMATO,0.0
74,MCDOWELL-N,45.490052223205566
75,MPHASIS,24.499969482421875
76,IRCTC,-53.6800537109375
77,INDUSTOWER,-26.449981689453125
78,AMBUJACEM,106.8699722290039
79,CHOLAFIN,-0.18198871612548828
80,UPL,248.1233787536621
81,NAUKRI,549.2624206542969
82,BANKBARODA,-167.92999649047852
83,BAJAJHLDNG,1744.7000732421875
84,TATAELXSI,606.1498832702637
85,JINDALSTEL,-276.85164618492126
86,LODHA,-693.6499633789062
87,LTTS,-180.7000732421875
88,GLAND,-667.050048828125
89,MUTHOOTFIN,330.00001525878906
90,PEL,-493.0449562072754
91,BEL,20.78282070159912
92,JSWENERGY,-129.65001678466797
93,HAL,379.8499755859375
94,BANDHANBNK,-406.5000305175781
95,PAGEIND,7867.600341796875
96,NMDC,-67.45000457763672
97,TORNTPHARM,623.220027923584
98,PGHH,11900.400024414062
99,GODREJPROP,715.8722534179688
100,IDBI,-64.00624656677246
101,HEROMOTOCO,-39.999542236328125
102,HDFCAMC,-392.5
103,ABB,-111.1500244140625
104,TRENT,282.982892036438
105,ALKEM,-513.2001953125
106,PIIND,173.2000961303711
107,BOSCHLTD,-10143.15087890625
108,COLPAL,1536.9749298095703
109,CANBK,21.1494140625
110,BALKRISIND,229.70824432373047
111,VOLTAS,20.20710378885269
112,CONCOR,-98.54789733886719
113,STARHEALTH,-120.54998779296875
114,VBL,84.79998779296875
115,SAIL,73.44999742507935
116,ASTRAL,7.153938293457031
117,ACC,-710.5502166748047
118,BIOCON,-85.71248626708984
119,SONACOMS,-112.5
120,UBL,587.549934387207
121,AUBANK,186.875
122,AUROPHARMA,-180.39504981040955
123,PNB,34.17998504638672
124,HINDPETRO,-356.1889457702637
125,PERSISTENT,1334.7001495361328
126,ZYDUSLIFE,290.2862596511841
127,POLYCAB,935.750244140625
128,HONAUT,-9411.501251220703
129,TATACOMM,172.3500213623047
130,JUBLFOOD,-21.239994049072266
131,AARTIIND,15.153119802474976
132,GUJGASLTD,118.75999450683594
133,ASHOKLEY,80.52500247955322
134,IOB,96.09998512268066
135,PAYTM,0.0
136,OBEROIRLTY,133.4999542236328
137,LUPIN,-842.6999645233154
138,MAXHEALTH,0.0
139,BHARATFORG,-72.69311571121216
140,TTML,-3.720308780670166
141,LINDEINDIA,1375.8000621795654
142,LAURUSLABS,-263.8400192260742
143,INDHOTEL,-55.037010192871094
144,TIINDIA,235.70001220703125
145,POLICYBZR,0.0
146,CUMMINSIND,-287.12855529785156
147,OFSS,1629.2998046875
148,YESBANK,-63.33998489379883
149,DEEPAKNTR,-310.3499393463135
150,ATUL,-960.4997711181641
151,SCHAEFFLER,607.1799621582031
152,FLUOROCHEM,173.60003662109375
153,PFC,52.52500915527344
154,TVSMOTOR,259.96005153656006
155,PETRONET,-92.52497291564941
156,ABFRL,417.8499755859375
157,GLAXO,538.4001007080078
158,IRFC,6.19999885559082
159,DALBHARAT,238.6500244140625
160,NHPC,7.249998092651367
161,IDEA,14.606500148773193
162,ZEEL,73.04428100585938
163,MRF,79725.59350585938
164,TRIDENT,-1.2800009846687317
165,COFORGE,80.16693115234375
166,IPCALAB,14.98252272605896
167,RELAXO,37.25999069213867
168,UNIONBANK,-71.10003280639648
169,IGL,203.4900188446045
170,MFSL,710.2900075912476
171,ABCAPITAL,-27.99999237060547
172,SUPREMEIND,721.1719260215759
173,OIL,-5.3100128173828125
174,CGPOWER,15.160249710083008
175,DIXON,-631.4301452636719
176,SOLARINDS,842.780143737793
177,BATAINDIA,96.50513458251953
178,KANSAINER,-149.60054187476635
179,TATACHEM,-224.50332260131836
180,IDFCFIRSTB,-4.799999237060547
181,RECLTD,49.681243896484375
182,CRISIL,338.6149501800537
183,SYNGENE,-16.974945068359375
184,CROMPTON,-37.65000915527344
185,TORNTPOWER,288.24998474121094
186,COROMANDEL,401.87496185302734
187,MANYAVAR,0.0
188,HATSUN,-308.60328674316406
189,THERMAX,320.1002197265625
190,APLAPOLLO,68.7400131225586
191,ESCORTS,970.0498428344727
192,SUMICHEM,91.89999389648438
193,NATIONALUM,38.50000286102295
194,GMRINFRA,25.542591094970703
195,3MINDIA,10583.900421142578
196,FORTIS,257.8000030517578
197,LALPATHLAB,676.3500366210938
198,NAM-INDIA,147.14999389648438
199,SUNDARMFIN,-35.74149703979492
200,KPRMILL,-109.57001113891602
201,CLEAN,0.0
202,DEVYANI,48.05000305175781
203,POONAWALLA,65.67999267578125
204,TANLA,97.85000610351562
205,FEDERALBNK,24.56694793701172
206,RAJESHEXPO,378.33838337659836
207,MSUMI,0.0
208,AAVAS,829.2501220703125
209,NAVINFLUOR,972.3496437072754
210,IEX,-11.688335418701172
211,VINATIORGA,548.4499454498291
212,ISEC,207.85000610351562
213,GICRE,-48.30000305175781
214,WHIRLPOOL,2030.350154876709
215,L&TFH,-134.56843948364258
216,GRINDWELL,361.02499771118164
217,PFIZER,-652.7492980957031
218,EMAMILTD,-170.15839004516602
219,PRESTIGE,301.6499938964844
220,LICHSGFIN,184.24006271362305
221,M&MFIN,137.41005325317383
222,PHOENIXLTD,799.8999938964844
223,SUNTV,-338.1500549316406
224,INDIANB,6.300010681152344
225,SUNDRMFAST,272.4000492095947
226,BANKINDIA,376.74999618530273
227,JKCEMENT,878.4500885009766
228,NIACL,6.250007629394531
229,RAMCOCEM,175.92749214172363
230,DCMSHRIRAM,-175.27006578445435
231,CHAMBLFERT,50.60000705718994
232,SKFINDIA,1272.400390625
233,SANOFI,3560.8002014160156
234,BHEL,64.16666984558105
235,BCG,-1.880000114440918
236,SFL,452.97491455078125
237,APTUS,0.0
238,AFFLE,-121.760009765625
239,METROBRAND,0.0
240,KPITTECH,24.050003051757812
241,BLUEDART,-148.79989624023438
242,KAJARIACER,-30.590055227279663
243,TIMKEN,342.39994049072266
244,CENTRALBK,46.83699607849121
245,CENTURYPLY,7.515054702758789
246,GILLETTE,3173.2499084472656
247,SUVENPHAR,118.79998779296875
248,AJANTPHARM,276.2644352912903
249,GODREJIND,661.5891537666321
250,HAPPSTMNDS,82.59991455078125
251,CDSL,-116.70002746582031
252,ENDURANCE,-663.4500732421875
253,ABSLAMC,0.0
254,AIAENG,1580.079833984375
255,NH,292.6000213623047
256,IRB,-13.685001373291016
257,CARBORUNIV,290.49998474121094
258,POWERINDIA,0.0
259,GRINFRA,0.0
260,GSPL,181.0999641418457
261,ALKYLAMINE,200.72000694274902
262,APLLTD,-428.94997787475586
263,ZFCVINDIA,2252.5995178222656
264,UCOBANK,-61.94999980926514
265,NUVOCO,0.0
266,NATCOPHARM,609.0000727176666
267,BASF,-57.850135803222656
