,Company,Call
2,GLOBUSSPR,buy
5,MOIL,buy
6,WELCORP,buy
21,SARDAEN,buy
44,KARURVYSYA,buy
45,MAHSEAMLES,buy
46,STARCEMENT,buy
55,SUDARSCHEM,buy
58,NCC,buy
61,SANSERA,buy
70,GATEWAY,buy
73,HEMIPROP,buy
78,AHLUCONT,buy
93,RSYSTEMS,buy
99,SAGCEM,buy
103,ACE,buy
110,PFOCUS,buy
118,DODLA,buy
142,EVEREADY,buy
144,JISLJALEQS,buy
172,DCBBANK,buy
195,FCL,buy
202,JAICORPLTD,buy
205,ANANTRAJ,buy
208,BALMLAWRIE,buy
209,VISHNU,buy
214,PILANIINVS,buy
220,GENUSPOWER,buy
225,JTEKTINDIA,buy
232,DEN,buy
233,HBLPOWER,buy
235,WABAG,buy
243,ELECTCAST,buy
254,ZENTEC,buy
255,GRWRHITECH,buy
258,GABRIEL,buy
262,SWARAJENG,buy
265,SOUTHBANK,buy
278,DBCORP,buy
280,THANGAMAYL,buy
291,TIMETECHNO,buy
295,ASHIANA,buy
299,SASKEN,buy
302,PRAKASH,buy
305,KOPRAN,buy
331,WHEELS,buy
332,KDDL,buy
340,TWL,buy
344,CIGNITITEC,buy
350,RIIL,buy
357,BFUTILITIE,buy
362,LUMAXTECH,buy
370,NRBBEARING,buy
381,PNBGILTS,buy
382,TDPOWERSYS,buy
416,SAKSOFT,buy
419,IFGLEXPOR,buy
427,NSIL,buy
438,MBAPL,buy
448,INDIANHUME,buy
449,SHREEPUSHK,buy
478,ONWARDTEC,buy
