Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
NSE:ADANIENT,Buy,Market,20,2 426.85,2 426.85,Filled,,2023-07-18 09:53:04,2023-07-18 09:53:04,900618068
NSE:ADANIENT,Sell,Market,20,2 430.85,2 430.85,Filled,,2023-07-18 09:57:46,2023-07-18 09:57:46,900622022
NSE:IGL,Buy,Market,10,493.20,493.20,Filled,,2023-07-18 12:11:17,2023-07-18 12:11:17,900740702
NSE:IGL,Sell,Market,10,492.35,492.35,Filled,,2023-07-18 12:13:01,2023-07-18 12:13:01,900742394
NSE:IGL,Buy,Market,10,494.35,494.35,Filled,,2023-07-18 12:49:12,2023-07-18 12:49:12,900782011
NSE:BAJAJFINSV,Buy,Market,10,1 619.15,1 619.15,Filled,,2023-07-19 09:31:18,2023-07-19 09:31:18,902020740
NSE:MRF,Buy,Market,2,102 480.10,102 480.10,Filled,,2023-07-19 09:32:32,2023-07-19 09:32:32,902021833
NSE:GAIL,Buy,Market,100,109.40,109.40,Filled,,2023-07-19 09:33:22,2023-07-19 09:33:22,902022659
NSE:IGL,Sell,Market,10,495.10,495.10,Filled,,2023-07-19 10:43:30,2023-07-19 10:43:30,902081397
NSE:IGL,Sell,Take Profit,10,510.10,,Cancelled,,2023-07-18 13:01:44,2023-07-19 10:43:30,900795394
NSE:RELIANCE,Sell,Market,20,2 811.50,2 811.50,Filled,,2023-07-19 11:59:21,2023-07-19 11:59:21,902143653
NSE:TATAMOTORS,Buy,Market,40,623.55,623.55,Filled,,2023-07-19 12:03:17,2023-07-19 12:03:17,902147364
NSE:BEL,Buy,Market,10,127.30,127.30,Filled,,2023-07-19 12:04:07,2023-07-19 12:04:07,902147969
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:37,2023-07-19 12:04:37,902148366
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:38,2023-07-19 12:04:38,902148381
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:39,2023-07-19 12:04:39,902148405
NSE:HDFCAMC,Buy,Market,1,2 418.10,2 418.10,Filled,,2023-07-19 12:04:40,2023-07-19 12:04:40,902148422
NSE:HDFCAMC,Buy,Market,1,2 418.70,2 418.70,Filled,,2023-07-19 12:04:44,2023-07-19 12:04:44,902148466
NSE:HDFCAMC,Buy,Market,1,2 418.60,2 418.60,Filled,,2023-07-19 12:04:45,2023-07-19 12:04:45,902148475
NSE:BAJAJFINSV,Sell,Market,10,1 643.65,1 643.65,Filled,,2023-07-20 09:28:45,2023-07-20 09:28:45,903450030
NSE:MRF,Sell,Market,2,102 301.00,102 301.00,Filled,,2023-07-20 09:28:47,2023-07-20 09:28:47,903450039
NSE:TATAMOTORS,Sell,Market,40,619.40,619.40,Filled,,2023-07-20 09:28:47,2023-07-20 09:28:47,903450043
NSE:BEL,Sell,Market,10,126.65,126.65,Filled,,2023-07-20 09:28:47,2023-07-20 09:28:47,903450051
NSE:HDFCAMC,Sell,Market,6,2 422.20,2 422.20,Filled,,2023-07-20 09:28:48,2023-07-20 09:28:48,903450060
NSE:GAIL,Sell,Market,100,110.35,110.35,Filled,,2023-07-20 09:28:54,2023-07-20 09:28:54,903450121
NSE:SUNPHARMA,Buy,Market,1,1 086.70,1 086.70,Filled,,2023-07-20 09:33:27,2023-07-20 09:33:27,903454231
NSE:SUNPHARMA,Buy,Market,1,1 086.50,1 086.50,Filled,,2023-07-20 09:33:28,2023-07-20 09:33:28,903454276
NSE:SUNPHARMA,Buy,Market,1,1 086.50,1 086.50,Filled,,2023-07-20 09:33:30,2023-07-20 09:33:30,903454308
NSE:GAIL,Buy,Market,100,110.85,110.85,Filled,,2023-07-20 09:34:38,2023-07-20 09:34:38,903455327
NSE:RELIANCE,Buy,Take Profit,20,2 787.45,,Cancelled,,2023-07-19 12:22:45,2023-07-20 09:34:48,902166195
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:28:54,2023-07-20 09:44:55,903450129
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:29:37,2023-07-20 09:44:55,903450664
NSE:RELIANCE,Buy,Market,40,2 580.00,2 580.00,Filled,,2023-07-20 09:29:20,2023-07-20 09:44:55,903450431
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:29:17,2023-07-20 09:44:55,903450384
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:34:51,2023-07-20 09:44:55,903455497
NSE:RELIANCE,Buy,Market,20,2 580.00,2 580.00,Filled,,2023-07-20 09:24:21,2023-07-20 09:44:55,903446430
