,market_cap,symbol,full_name
0,3080151321000.0,AAPL,Apple Inc. Common Stock
1,2514009150613.0,MSFT,Microsoft Corporation Common Stock
2,1677123090000.0,GOOG,Alphabet Inc. Class C Capital Stock
3,1671701220000.0,GOOGL,Alphabet Inc. Class A Common Stock
4,1356521361090.0,AMZN,Amazon.com Inc. Common Stock
5,1154725000000.0,NVDA,NVIDIA Corporation Common Stock
6,845679085787.0,TSLA,Tesla Inc. Common Stock
7,834118022426.0,META,Meta Platforms Inc. Class A Common Stock
8,523067634639.0,TSM,Taiwan Semiconductor Manufacturing Company Ltd.
9,372468158089.0,MA,Mastercard Incorporated Common Stock
10,371330200565.0,AVGO,Broadcom Inc. Common Stock
11,312738385470.0,ORCL,Oracle Corporation Common Stock
12,283461195180.0,ASML,ASML Holding N.V. New York Registry Shares
13,266143146500.0,ABBV,AbbVie Inc. Common Stock
14,257986385118.0,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
15,242592669000.0,ADBE,Adobe Inc. Common Stock
16,219734400000.0,CRM,Salesforce Inc. Common Stock
17,212269779294.0,CSCO,Cisco Systems Inc. Common Stock (DE)
18,209188923098.0,ACN,Accenture plc Class A Ordinary Shares (Ireland)
19,207936421000.0,SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) 
20,188683023641.0,NFLX,Netflix Inc. Common Stock
21,166643190000.0,TBC,AT&T Inc. 5.625% Global Notes due 2067
22,161376155362.0,UPS,United Parcel Service Inc. Common Stock
23,159780150000.0,TBB,AT&T Inc. 5.350% Global Notes due 2066
24,144240720000.0,QCOM,QUALCOMM Incorporated Common Stock
25,143345768108.0,INTU,Intuit Inc. Common Stock
26,127582824761.0,AMAT,Applied Materials Inc. Common Stock
27,126298777024.0,AMGN,Amgen Inc. Common Stock
28,125865295041.0,HDB,HDFC Bank Limited Common Stock
29,117905107296.0,PDD,PDD Holdings Inc. American Depositary Shares
30,117430636358.0,GS,Goldman Sachs Group Inc. (The) Common Stock
31,116186160000.0,NOW,ServiceNow Inc. Common Stock
32,116073000000.0,SBUX,Starbucks Corporation Common Stock
33,114727842028.0,ISRG,Intuitive Surgical Inc. Common Stock
34,114447808000.0,RYAAY,Ryanair Holdings plc American Depositary Shares
35,110575758693.0,BLK,BlackRock Inc. Common Stock
36,107548667454.0,RIO,Rio Tinto Plc Common Stock
37,98047598657.0,ABNB,Airbnb Inc. Class A Common Stock
38,97427039579.0,UBER,Uber Technologies Inc. Common Stock
39,96894410277.0,LRCX,Lam Research Corporation Common Stock
40,95871527677.0,GILD,Gilead Sciences Inc. Common Stock
41,91186143980.0,VRTX,Vertex Pharmaceuticals Incorporated Common Stock
42,87755095386.0,ZTS,Zoetis Inc. Class A Common Stock
43,84459588601.0,SHOP,Shopify Inc. Class A Subordinate Voting Shares
44,83435217583.0,BTI,British American Tobacco  Industries p.l.c. Common Stock ADR
45,81854820509.0,REGN,Regeneron Pharmaceuticals Inc. Common Stock
46,77019600000.0,UBS,UBS Group AG Registered Ordinary Shares
47,75195612850.0,HCA,HCA Healthcare Inc. Common Stock
48,74571704202.0,EQIX,Equinix Inc. Common Stock REIT
49,74174209185.0,BX,Blackstone Inc. Common Stock
50,72563460886.0,GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares)
51,71734894361.0,CME,CME Group Inc. Class A Common Stock
52,70110010911.0,KLAC,KLA Corporation Common Stock
53,68608746055.0,SNPS,Synopsys Inc. Common Stock
54,67916062500.0,AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares
55,66270630219.0,VMW,Vmware Inc. Common stock Class A
56,64637476087.0,RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share)
57,64491605148.0,EL,Estee Lauder Companies Inc. (The) Common Stock
58,64457483105.0,ICE,Intercontinental Exchange Inc. Common Stock
59,64375313360.0,STLA,Stellantis N.V. Common Shares
60,63693237965.0,JD,JD.com Inc. American Depositary Shares
61,62408460770.0,RACE,Ferrari N.V. Common Shares
62,62046454779.0,NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares)
63,61505322727.0,MELI,MercadoLibre Inc. Common Stock
64,60303064550.0,FTNT,Fortinet Inc. Common Stock
65,57569794544.0,NXPI,NXP Semiconductors N.V. Common Stock
66,56977097000.0,SNOW,Snowflake Inc. Class A Common Stock
67,56866360320.0,BN,Brookfield Corporation Class A Limited Voting Shares
68,56543750683.0,ORLY,O'Reilly Automotive Inc. Common Stock
69,54309688313.0,BIDU,Baidu Inc. ADS
70,54072087797.0,ING,ING Group N.V. Common Stock
71,52766120797.0,CMG,Chipotle Mexican Grill Inc. Common Stock
72,52486016022.0,ROP,Roper Technologies Inc. Common Stock
73,52353196399.0,GM,General Motors Company Common Stock
74,51346468354.0,DXCM,DexCom Inc. Common Stock
75,51139379729.0,CTAS,Cintas Corporation Common Stock
76,50775253659.0,MCHP,Microchip Technology Incorporated Common Stock
77,49411671355.0,CARR,Carrier Global Corporation Common Stock 
78,49298178744.0,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
79,48618679098.0,TDG,Transdigm Group Incorporated Common Stock
80,47916771935.0,RSG,Republic Services Inc. Common Stock
81,47909754628.0,MET,MetLife Inc. Common Stock
82,47399624074.0,SQ,Block Inc. Class A Common Stock
83,46885348600.0,ODFL,Old Dominion Freight Line Inc. Common Stock
84,46578448101.0,ANET,Arista Networks Inc. Common Stock
85,46092022059.0,LULU,lululemon athletica inc. Common Stock
86,45883468522.0,IDXX,IDEXX Laboratories Inc. Common Stock
87,45616252086.0,PAYX,Paychex Inc. Common Stock
88,45270558624.0,LVS,Las Vegas Sands Corp. Common Stock
89,45234300403.0,MRNA,Moderna Inc. Common Stock
90,45212143649.0,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit
91,44216438270.0,TTD,The Trade Desk Inc. Class A Common Stock
92,44063785197.0,LI,Li Auto Inc. American Depositary Shares
93,43859687000.0,MRVL,Marvell Technology Inc. Common Stock
94,43808550418.0,COF,Capital One Financial Corporation Common Stock
95,42469503000.0,ALC,Alcon Inc. Ordinary Shares
96,42433984488.0,NIMC,NiSource Inc Series A Corporate Units
97,42230862843.0,CPRT,Copart Inc. (DE) Common Stock
98,41961935297.0,IQV,IQVIA Holdings Inc. Common Stock
99,40317546470.0,HLT,Hilton Worldwide Holdings Inc. Common Stock 
100,39908410220.0,CTVA,Corteva Inc. Common Stock 
101,39776867852.0,ROST,Ross Stores Inc. Common Stock
102,39148865498.0,KMI,Kinder Morgan Inc. Common Stock
103,38992520477.0,DOW,Dow Inc. Common Stock 
104,38754260887.0,LNG,Cheniere Energy Inc. Common Stock
105,38260279167.0,DELL,Dell Technologies Inc. Class C Common Stock 
106,37729503598.0,PLTR,Palantir Technologies Inc. Class A Common Stock
107,37377715091.0,DG,Dollar General Corporation Common Stock
108,37232119590.0,A,Agilent Technologies Inc. Common Stock
109,36894058949.0,CRWD,CrowdStrike Holdings Inc. Class A Common Stock
110,36680661997.0,PKX,POSCO Holdings Inc. American Depositary Shares (Each representing 1/4th of a share of Common Stock)
111,36111163206.0,DDOG,Datadog Inc. Class A Common Stock
112,36021389406.0,SGEN,Seagen Inc. Common Stock
113,35986433412.0,SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share
114,35771595465.0,DLR,Digital Realty Trust Inc. Common Stock
115,35491436902.0,MPLX,MPLX LP Common Units Representing Limited Partner Interests
116,35481996476.0,DD,DuPont de Nemours Inc. Common Stock
117,35142200000.0,PRU,Prudential Financial Inc. Common Stock
118,34371940000.0,GFS,GlobalFoundries Inc. Ordinary Shares
119,34010100000.0,DVN,Devon Energy Corporation Common Stock
120,33614719884.0,VRSK,Verisk Analytics Inc. Common Stock
121,33595546260.0,DLTR,Dollar Tree Inc. Common Stock
122,33491214080.0,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
123,33382987424.0,FAST,Fastenal Company Common Stock
