,Unnamed: 0,companies,companies_list
0,0,ab-cotspin-india-ABCO,ab cotspin india
1,1,a-b-infrabuild-ABIN,a b infrabuild
2,2,a-f-enterprises-AFE,a f enterprises
3,3,a-g-universal-AGU,a g universal
4,4,a-infrastructure-AIN,a infrastructure
5,5,akcapital-services-AKC,akcapital services
6,6,a-1-acid-AAL,a 1 acid
7,7,a2z-infra-engineering-A2ZI,a2z infra engineering
8,8,aa-plus-tradelink-AAP,aa plus tradelink
9,9,aaa-technologies-AAA,aaa technologies
10,10,aar-shyam-india-investment-company-AARS,aar shyam india investment company
11,11,abb-india-ABB,abb india
12,12,abc-gas-international-ABCG,abc gas international
13,13,abc-india-ABC,abc india
14,14,abm-knowledgeware-ABM,abm knowledgeware
15,15,acc-ACC,acc
16,16,ace-software-exports-ACES,ace software exports
17,17,aci-infocom-ACII,aci infocom
18,18,ad-manum-finance-ADM,ad manum finance
19,19,adc-india-communications-KRO,adc india communications
20,20,adf-foods-AMRN,adf foods
21,21,aditya-birla-sun-life-nifty-200-momentum-30-etf-MOME,aditya birla sun life nifty 200 momentum 30 etf
22,22,aditya-birla-sun-life-nifty-200-quality-30-etf-NIF,aditya birla sun life nifty 200 quality 30 etf
23,23,hsil-HSNT,hsil
24,24,agi-infra-AGI,agi infra
25,25,ags-transact-technologies-AGS,ags transact technologies
26,26,aia-engineering-AIAE,aia engineering
27,27,gammon-infrastructure-projects-GAIN,gammon infrastructure projects
28,28,a-k-spintex-AKSP,a k spintex
29,29,akg-exim-AKGE,akg exim
30,30,aki-india-AKI,aki india
31,31,akm-lace-and-embrotex-AKM,akm lace and embrotex
32,32,amd-industries-AMDM,amd industries
33,33,amj-land-holdings-AMJL,amj land holdings
34,34,ams-polymers-AMM,ams polymers
35,35,ang-lifesciences-india-ANA,ang lifesciences india
36,36,ani-integrated-services-ANII,ani integrated services
37,37,ans-industries-ANS,ans industries
38,38,apl-apollo-tubes-APLA,apl apollo tubes
39,39,apm-finvest-APM,apm finvest
40,40,apm-industries-APMI,apm industries
41,41,apt-packaging-APTP,apt packaging
42,42,a-r-c-finance-ARC,a r c finance
43,43,arss-infrastructure-projects-ARSS,arss infrastructure projects
44,44,asi-industries-ASO,asi industries
45,45,asl-industries-ASLI,asl industries
46,46,asm-technologies-ASM,asm technologies
47,47,atv-projects-india-ATVP,atv projects india
48,48,au-small-finance-bank-AUFI,au small finance bank
49,49,avg-logistics-AVGL,avg logistics
50,50,avi-polymers-AVI,avi polymers
51,51,avi-products-india-APIL,avi products india
52,52,avsl-industries-AVSL,avsl industries
53,53,avt-natural-products-AVTN,avt natural products
54,54,aadi-industries-AADI,aadi industries
55,55,aakash-exploration-services-AAKA,aakash exploration services
56,56,aananda-lakshmi-spinning-mills-AANA,aananda lakshmi spinning mills
57,57,aanchal-ispat-AAN,aanchal ispat
58,58,aarcon-facilities-RBG,aarcon facilities
59,59,aarey-drugs-and-pharmaceuticals-AREY,aarey drugs and pharmaceuticals
60,60,aarnav-fashions-AARNA,aarnav fashions
61,61,aaron-industries-AARN,aaron industries
62,62,aartech-solonics-AAR,aartech solonics
63,63,aarti-drugs-ADRG,aarti drugs
64,64,aarti-industries-ARTI,aarti industries
65,65,aarti-pharmalabs-AART,aarti pharmalabs
66,66,aarti-surfactants-partly-paidup-AARTI,aarti surfactants partly paidup
67,67,aarti-surfactants-AARU,aarti surfactants
68,68,aarvee-denims-and-exports-AADM,aarvee denims and exports
69,69,aarvi-encon-AARI,aarvi encon
70,70,aashka-hospitals-AAS,aashka hospitals
71,71,upasana-finance-UPA,upasana finance
72,72,aaswa-trading-and-exports-ASW,aaswa trading and exports
73,73,aavas-financiers-AVAS,aavas financiers
74,74,aayush-food-and-herbs-AAY,aayush food and herbs
75,75,aban-offshore-ABAN,aban offshore
76,76,abans-enterprises-ABA,abans enterprises
77,77,abans-holdings-AHL,abans holdings
78,78,trijal-industries-TRIJ,trijal industries
79,79,abbott-india-ABOT,abbott india
80,80,abhijit-trading-company-ABH,abhijit trading company
81,81,abhinav-capital-services-ABHIC,abhinav capital services
82,82,abhinav-leasing-and-finance-ALF,abhinav leasing and finance
83,83,abhishek-finlease-ABHIF,abhishek finlease
84,84,abhishek-infraventures-ABHI,abhishek infraventures
85,85,abhishek-integrations-AIL,abhishek integrations
86,86,abirami-financial-services-india-ABI,abirami financial services india
87,87,abm-international-ABMN,abm international
88,88,ecom-infotech-india-ECO,ecom infotech india
89,89,accel-ACCE,accel
90,90,accelya-solutions-india-ACCY,accelya solutions india
91,91,accord-synergy-ACCO,accord synergy
92,92,accuracy-shipping-ACCU,accuracy shipping
93,93,ace-edutrend-ACEE,ace edutrend
94,94,prem-somani-financial-services-PRESO,prem somani financial services
95,95,ace-integrated-solutions-ACEN,ace integrated solutions
96,96,ace-men-engg-works-ACE,ace men engg works
97,97,achyut-healthcare-ACHY,achyut healthcare
98,98,acknit-industries-ACK,acknit industries
99,99,acme-resources-ACME,acme resources
100,100,acrow-india-ACRO,acrow india
101,101,action-construction-equipment-ACEL,action construction equipment
102,102,active-clothing-co-ACT,active clothing co
103,103,adani-enterprises-ADEL,adani enterprises
104,104,adani-green-energy-ADNA,adani green energy
105,105,adani-ports-and-special-economic-zone-APSE,adani ports and special economic zone
106,106,adani-power-ADAN,adani power
107,107,adani-gas-ADAG,adani gas
108,108,adani-transmission-ADAI,adani transmission
109,109,adani-wilmar-AWL,adani wilmar
110,110,adarsh-mercantile-ADA,adarsh mercantile
111,111,adarsh-plant-protect-ADAR,adarsh plant protect
112,112,adcon-capital-services-partly-paidup-ADCO,adcon capital services partly paidup
113,113,adcon-capital-services-ADC,adcon capital services
114,114,add-shop-e-retail-ASR,add shop e retail
115,115,addi-industries-ADD,addi industries
116,116,adeshwar-meditex-ADE,adeshwar meditex
117,117,adhbhut-infrastructure-ADHB,adhbhut infrastructure
118,118,adinath-exim-resources-ADIE,adinath exim resources
119,119,adinath-textiles-ADIN,adinath textiles
120,120,adishakti-loha-and-ispat-ADISH,adishakti loha and ispat
121,121,aditya-birla-sun-life-nifty-bank-etf-ADIL,aditya birla sun life nifty bank etf
122,122,aditya-birla-sl-crisil-overnight-fund-ai-index-etf-ABSL,aditya birla sl crisil overnight fund ai index etf
123,123,aditya-bsl-gold-etf-AITY,aditya bsl gold etf
124,124,aditya-bsl-nifty-50-etf-ADIY,aditya bsl nifty 50 etf
125,125,aditya-birla-sun-life-nifty-next-50-etf-ADIB,aditya birla sun life nifty next 50 etf
126,126,aditya-bsl-sensex-30-etf-BSL,aditya bsl sensex 30 etf
127,127,aditya-birla-capital-ADTB,aditya birla capital
128,128,aditya-birla-fashion-and-retail-ADIA,aditya birla fashion and retail
129,129,aditya-birla-money-ABML,aditya birla money
130,130,aditya-birla-sun-life-amc-ABS,aditya birla sun life amc
131,131,aditya-birla-sun-life-nifty-healthcare-etf-HEALT,aditya birla sun life nifty healthcare etf
132,132,aditya-birla-sun-life-nifty-it-etf-TECT,aditya birla sun life nifty it etf
133,133,aditya-birla-sun-life-silver-etf-SILVR,aditya birla sun life silver etf
134,134,aditya-consumer-marketing-ACM,aditya consumer marketing
135,135,aditya-ispat-ADITY,aditya ispat
136,136,aditya-spinners-ADIT,aditya spinners
137,137,aditya-vision-AVL,aditya vision
138,138,adjia-technologies-ADJ,adjia technologies
139,139,kamron-laboratories-KAMR,kamron laboratories
140,140,ador-fontech-ADO,ador fontech
141,141,ador-multi-products-ADORM,ador multi products
142,142,ador-welding-ADOR,ador welding
143,143,adroit-infotech-AROI,adroit infotech
144,144,advait-infratech-ADVA,advait infratech
145,145,advance-lifestyles-ADVL,advance lifestyles
146,146,advance-metering-technology-AMTL,advance metering technology
147,147,advance-petrochemicals-ADVPE,advance petrochemicals
148,148,advance-syntex-ASY,advance syntex
149,149,advanced-enzyme-technologies-ADEN,advanced enzyme technologies
150,150,advani-hotels-and-resorts-india-ADHO,advani hotels and resorts india
151,151,advik-capital-ADVI,advik capital
152,152,advik-laboratories-ADVIK,advik laboratories
153,153,aegis-logistics-AEGS,aegis logistics
154,154,aether-industries-AET,aether industries
155,155,affle-india-AFFL,affle india
156,156,affordable-robotic-and-automation-AFF,affordable robotic and automation
157,157,agarwal-float-glass-india-AGA,agarwal float glass india
158,158,devki-leasing-and-finance-DEVK,devki leasing and finance
159,159,agarwal-industrial-corporation-AGWL,agarwal industrial corporation
160,160,agio-paper-and-industries-AGIO,agio paper and industries
161,161,agni-green-power--AGN,agni green power
162,162,agri-tech-india-AGTL,agri tech india
163,163,agrimony-commodities-AGR,agrimony commodities
164,164,agro-phos-india-AGRP,agro phos india
165,165,agro-tech-foods-AGRO,agro tech foods
166,166,ahimsa-industries-AHIN,ahimsa industries
167,167,ahlada-engineers-AHLA,ahlada engineers
168,168,ahluwalia-contracts-india-AHLU,ahluwalia contracts india
169,169,ahmedabad-steelcraft-AHM,ahmedabad steelcraft
170,170,ai-champdany-industries-AICI,ai champdany industries
171,171,aimco-pesticides-AIMC,aimco pesticides
172,172,airan-AIRA,airan
173,173,airolam-AIRO,airolam
174,174,aishwarya-technologies-and-telecom-AIS,aishwarya technologies and telecom
175,175,ajanta-pharma-AJPH,ajanta pharma
176,176,ajanta-soya-AJA,ajanta soya
177,177,ajcon-global-services-AJC,ajcon global services
178,178,ajel-AJE,ajel
179,179,ajmera-realty-and-infra-india-AJME,ajmera realty and infra india
180,180,ajooni-biotech-AJOO,ajooni biotech
181,181,ajwa-fun-world-and-resort-AJW,ajwa fun world and resort
182,182,akar-auto-industries-AAI,akar auto industries
183,183,akash-infra-projects-AKAS,akash infra projects
184,184,aksh-optifibre-AKSO,aksh optifibre
185,185,akshar-spintex-AKS,akshar spintex
186,186,aksharchem-india-AKSH,aksharchem india
187,187,akzo-nobel-india-AKZO,akzo nobel india
188,188,alacrity-securities-ALSA,alacrity securities
189,189,alan-scott-industries-ALAN,alan scott industries
190,190,alankit-ALAK,alankit
191,191,albert-david-ALBD,albert david
192,192,alchemist-corporation-ALC,alchemist corporation
193,193,alembic-ALMC,alembic
194,194,alembic-pharmaceuticals-ALEM,alembic pharmaceuticals
195,195,alexander-stamps-and-coin-ALE,alexander stamps and coin
196,196,alfa-ica-india-ALFAI,alfa ica india
197,197,alfa-transformers-ALFAT,alfa transformers
198,198,alfavision-overseas-ALFA,alfavision overseas
199,199,alfred-herbert-india-ALFR,alfred herbert india
200,200,hindustan-everest-tools-HINDE,hindustan everest tools
201,201,alicon-castalloy-ALIO,alicon castalloy
202,202,alkali-metals-ALML,alkali metals
203,203,alkem-laboratories-ALKE,alkem laboratories
204,204,alkosign-ALKO,alkosign
205,205,alkyl-amines-chemicals-ALKY,alkyl amines chemicals
206,206,all-e-technologies-ALL,all e technologies
207,207,allcargo-logistics-ACLL,allcargo logistics
208,208,alliance-integrated-metaliks-AIM,alliance integrated metaliks
209,209,allied-digital-services-ADIS,allied digital services
210,210,allsec-technologies-ALLS,allsec technologies
211,211,almondz-global-securities-ALSL,almondz global securities
212,212,alna-trading-and-exports-ALN,alna trading and exports
213,213,alok-industries-ALOK,alok industries
214,214,alpa-laboratories-ALPA,alpa laboratories
215,215,alphageo-india-ALPI,alphageo india
216,216,alphalogic-techsys-ALP,alphalogic techsys
217,217,alpine-housing-development-corporation-ALPIN,alpine housing development corporation
218,218,alps-industries-ALPS,alps industries
